Text,Ratings
"The chimney started dripping oil in 10 days, when called support they say I should have reported this within 72 hours

I paid Rs. 700/ - for this .",1
"The worst company, they keep cancelling the bookings on the time of cleaner need to arrive, or they reschedule fir another day with out informing the customer. You find out just when you text them to check why the professional is late.

For Urban company this is normal. No compensation, no apology. They are so unprofessional on scheduling.",1
UC professionals have HARASSED me on diwali. Upon escalation I received zero support. Extremely horrible experience be safe beware they harass customers and dont take ownership of their behaviour,1
"Booked home cleaning service for my 1 bhk flat for 8;00 am. Cleaning team of 2 people show- up at 8.30 am with no intimation of being late. As per the pricess manager enters OTP the moment the work begins, no show from manager. Only 2 team members show up, 2nd one is called, up by the team leader at 9.30 am and he is away from the job site for 1.5 hours. Only 1 member does the cleaning. 2 members (includes team leader) show up at 11:00 am. Seems 2 of them were finishing floor cleaning and vacuuming for another customer. At 1 pm team of 3 wind up work, with window glass of my toilet broken and half finished work, Shabby work delivery. Extremely dissatisfied with thei services during Diwali. Urban company I have lost trust in your brand and your work ethics. Stop moonlighting if you can't handle high customer demand during festive time.",1
"Recently I got my house painting done by Urban Company. Their advertisements are misleading -'ek bhi galti ho toh pura painting free'. They are very costly and the service quality is very very poor. They said there is 1 yr warranty. I called the person who did the painting work for me to rectify the work done by him. He stopped answering my calls. Then I made a complaint to UC, but no action taken so far. Think twice before you engage UC for any work. They are not professionals",1
My name Aditya Mishra. I ordered urban company M1 ro 21 oct. It's not delivered after 10 days & status is showing sheeping,1
Very unprofessional behaviour by the company employees.Not trust worthy and they are cheating the customers.They are blocking the slots in online and on calling to their Customer care no they said slots are not available but I am calling back with another number and I will book the slots for you.They are calling with their personal numbers and saying sir though slots are not available but I will give you slot for that you have to pay the extra charges as premium services and they are asking money for 6400 instead of 3400 for the same job which shows on their app.Totally wasting time and money .They are only for making money.Though company may not be saying to do so but they must check on their employees. They have wasted my time. Though this was my first time trying to book but first impression goes worst.,1
"My TV repair done through urban company didn't even last for a month. Also at the time of repair initially the repairmen didn't convey that it would cost us 5k Rs. and later I was compelled to pay the amount. I would have instead repaired my TV locally, atleast it would have been durable.",1
"I used UC to evaluate for a painting service. They came home with an instrument to measure the room size. I can say that they are fooling the customer by doing misinterpretation of measurement by using this instrument which is not correctly showing the value. I have observed that this instrument is not calibrated , hence the value it shows cannot be trusted.",1
"I am so glad to review this urban company. I used many services like water purifier , a/c general service, fridge repair and washing machine repair , plumbing , electrical services",5
"Five months ago, I called Urban Company to repair an AC. The technician first said the gas must have run out -- I had got it filled just a month earlier from them so it was supposedly under warranty. When I told him that, he said the warranty for places near water bodies was 15 days! (My flat is not that close to any water body -- by this logic, every place is Bombay is.)Anyway, he checked the AC and said the gas was ok. After two days of trying to figure out what was wrong, he said two parts needed to be replaced. He quoted an exorbitant amount for second-hand components which, the AC company told me was more than what new parts cost. Anyway, since I had to get it done, I paid up. Today, five months later, the AC is not working again.

This company has incompentent technicians, overcharges and does not give warranties. The worst part is that it does not have a dedicated number, and there is no way to complain directly. If you look at the Urban Company reviews anywhere, there are hundreds of complaints against it but it remains untouched. If we had anything like a class action lawsuit in India (where many people get together and file a case), this company would be taken to the cleaners. It deserves to be shut down.",1
"I booked for electrician on 21.09.2023, the company failed to assign tech for the job in allotted time slot and I cancelled the service, I have not received refund till date, it's customer care number is not available to lodge complaint and on my mobile the reply says no refund will be issued, that is surprising, I think the company is not trustworthy and is not proffessinoal.

The behaviour of company is cheating customer",1
"Very expensive service, electrician worked for one hr and charges were INR 800. Very poor customer service, no phone number for customer care. Very poor response from customer care, almost impossible to get through.",1
"I have been using UC for years now for home cleaning, haircuts, painting, carpentry, etc. Two days ago Masud (cleaner) was assigned to clean my home on a Classic package. He waited for my brother to leave for work and then started pestering my 70+ year old dad for more money and to upgrade the package to premium. My dad doesn't know about the packages since I book everything for them on the app. My dad agreed to pay 4k more than what I booked. He then started threatening my parents that he wanted the money before the job is done. He went into my mother's bedroom and started shouting. I called the UC trust center as soon as my mom called me in panic (I don't live in the same state as my parents). I told Masud to leave my house at once or I'd call the police. He kept threatening then after UC also told him, he finally left. He made my parent's home so dirty and threw water everywhere. My parents were so scared. UC kept asking for time since I wanted to file a FIR. Two days later they are calling to close the ticket and gave RS150 coupons. Such unprofessional idiots. Please be careful with elderly and safety of your lived ones. I don't think they are vetting their staff properly. Very horrible and scary experience.",1
"I have been using UC for years now for home cleaning, haircuts, painting, carpentry, etc. Two days ago Masud (cleaner) was assigned to clean my home on a Classic package. He waited for my brother to leave for work and then started pestering my 70+ year old dad for more money and to upgrade the package to premium. My dad doesn’t know about the packages since I book everything for them on the app. My dad agreed to pay 4k more than what I booked. He then started threatening my parents that he wanted the money before the job is done. He went into my mother’s bedroom and started shouting. I called the UC trust center as soon as my mom called me in panic (I don’t live in the same state as my parents). I told Masud to leave my house at once or I’d call the police. He kept threatening then after UC also told him, he finally left. He made my parent’s home so dirty and threw water everywhere. My parents were so scared. UC kept asking for time since I wanted to file a FIR. Two days later they are calling to close the ticket and gave RS150 coupons. Such unprofessional idiots. Please be careful with elderly and safety of your lived ones. I don’t think they are vetting their staff properly. Very horrible and scary experience.",1
"I wanted to get my washing machine repaired as it was tripping continuously. The technician came and gave me an estimate of 6500rs. I denied the extra that they were charging to change the motor. So I requested a call from UC to understand. The technician agent Ritwik initially said that the motor can be changed later and the seal bearing can be changed for now. However, I will not get an guarantee for the entire machine. I agreed to that. The technician started working, he opened the machine and was checking. Suddenly he received a call to stop the work and leave my place. I never received any call from UC regarding stopping of work. I called UC and they said they will not do the work if I don't change the motor. This clearly shows that UC didn't do my work since I was not ready to pay for the motor which was actually not needed to be changed but was added to squeeze extra money. The technician over the phone was rude and behaved unprofessionally.

The technician stopped the work without even informing me.",1
"I booked their services to have my bathroom thoroughly cleaned, but the results were nothing short of abysmal. It's astonishing how a company that claims to provide professional cleaning services could fall so short of expectations.

Firstly, the cleaner arrived late, which was an inconvenience from the start. When they finally got to work, it became apparent that they had no idea what a ""thorough"" cleaning meant. The bathroom was left in a worse state than it was before their arrival. There were still visible stains on the tiles, soap scum on the shower glass, and grime in the corners that had been entirely neglected.

To make matters worse, they used harsh chemicals that left an overpowering, unpleasant odor that lingered for hours. I expected a fresh, clean scent, but instead, my bathroom smelled like a chemical factory.

Customer service was equally disappointing. When I contacted UrbanCompany.com to express my dissatisfaction, they were unresponsive and unapologetic. It's clear they prioritize profit over customer satisfaction.

I wouldn't recommend UrbanCompany.com to anyone seeking quality cleaning services. Their incompetence, poor customer service, and lack of professionalism are truly frustrating and make it a waste of time and money. Avoid at all costs.",1
"In last 2 years I booked 3 to 4 services from urban company. In all the cases, their non professionals have rescheduled my booking slot by themselves without my permission. In my last booking for kitchen cleaning, their non professional spoke to me and I insisted not to reschedule at all. He said ok, disconnected the call and rescheduled. In one other case, that time I was a member and they rescheduled it after 2 days. Their non professional came, did the service and within 10 days the problem appeared. One other surprising thing is their non professionals carry central government’s skill development certificate which is to cheat people. Finally I cancelled my service and booked it thru nobroker. Nobroker’s professionals came on time in fact 3mins before scheduled time. So I decided not to use urban company app anymore and simply use nobroker as alternative.",1
I booked a professional from urban company for ac repair and they have made the condition worst than before. All lies and no truth about it. I have ask3d for compenstation of the product damaged by their professional.,1
Booked Premium deep cleaning service for my house. cleaners came. turned the house Topsy turvy. I asked them to clean a corner. cleaner got angry and aggressive saying I was interfering. he pulled his appliance plug out and left leaving the house in bigger mess. I requested him to finish the workor at least fix back the house. he said I should deal with urban company. I tried to complain to Urban company. they did nothing to amend the situation.,1
We booked slot seven days before and we are planning accordingly but few hours before they cancelled. It's very unfortunate. This is clearly commitment issue.,1
"I recently booked a pedicure service with Urban Company, and unfortunately, I must say that I was quite disappointed with the experience. The service was far from satisfactory, and here's why:

Rushed and Inattentive: The professional who arrived at my place seemed disinterested from the beginning. It felt like he was just going through the motions to complete the service as quickly as possible. There was a clear lack of attention to detail.

Faulty Equipment: To add to my disappointment, the equipment he brought along appeared to be faulty. The foot spa wasn't working correctly, and it took several attempts to get it started. This wasted valuable time and left me feeling frustrated.

Incomplete Work: One of the most essential aspects of a pedicure is the removal of dead skin and calluses. Unfortunately, this crucial step was overlooked. I could still feel rough patches on my feet, which was disappointing.

Minimal Massage: The brief foot massage I received was for a mere minute, if not less. A good pedicure should include a relaxing and rejuvenating massage, which was notably absent in this case.

Overall, my experience with Urban Company's pedicure service was subpar, and I did not receive the quality of service I expected. I hope this feedback helps them improve their services and ensure that customers receive the excellent and relaxing experience they deserve.",1
"This is the worst company I have ever visited to. I don't like the overall company worst experience.
",1
"Worst experience with the unprofessional service partners and customer support when approached. They doesn't know how to communicate with a loyal customer and resolve an issue with some dignity. Simply copy and paste apology message and 50rs Urban Credit as if we are begging them. Most of the service partners visit home, ask us to cancel the booking, then do the service and charge us personally that too with a scan code, since we can raise a complaint when amount is paid to their contact number. Be aware of these fraud service partners",1
"Worst customer service and worst painting quality issues. Customer care executive give flase promises and say aorry we can't do anything right now. I love to support you air but we are helpless.

Sajid is executive done the painting service - he is not having any experience and absconding after stated raising painting quality issues. Never respond to customer complaints. Never book any service from urban company.",1
"I hope u ready my review before u ask urban company to come and clean ur house. Urban company services are a ripoff. No value for money. We asked for a full home cleaning. The job was average for the price charged to just do a dusting job that to with only a dry cloth for 3000/- and they tell u that what u ordered for u want us to use a wet cloth pay nother 1000. And u need to be vigilant on the cleaning as they will do a superficial job. We had to point out that u have missed some spot here or there, in-fact after the clean I felt my house was more dusty than before. The company should we sued for fake advertising they don’t have any tech for deep cleaning etc. though I dint give a bad rating for the guys on the app. As I just wanted to get done with them. But I will never call urban company again for any services and have deleted the app as well.",1
Dont go for this company anymore waste of money people dint worked proper for premium plan and asking for extra money before starting work itself,1
"Booked for 2 services with UC, Bangalore(1) Health facet pipe leaking(2) PVC flush tank leaking and paid Rs. 346 as per tariff card on 15.08.2023. Partner came on 16.08.2023 and rectified(1) health facet pipe leaking work. However he could not attend / complete / do the work of(2) Flush tank leak and suggest for replacement of the tank. He volunteered to buy a tank and fix it at a slightly enhanced cost as per tariff card. I agreed to pay the difference. I told him that I buy the new flush tank and asked him to come and fix. He was supposed to come on 17th. When I called him on 17th evening, he said on 18th pucca. But did not turn up. The company app is also useless under such circumstance. Since the partner did not do the job for one work they should return the amount after deducting visitation fee or complete the job as per the tariff applicable for that work. The company is unresponsive. At times consumers cannot exactly identify the problem areas and chose the work specified in the app only. There is no facility for discussion in their app. Nor the officials / help desk come on line to find out. Hence it is not advisable to approach them unless the problem areas are fully identified and that matches the work attended by the partner later on.",1
"Consistently shady services. Jobs incomplete or need revisiting and when a revisit is booked it gets cancelled as miraculously someone has flu. When questioned the flu excuse disappears and now all of a sudden my ac unit model has only meant to chill to 24 degrees. No thorough checks of the problem were conducted and still no resolution. Company guarantees of revisits are not honoured. Cleaning services are in consistent and the professional regularly changed without prior notice being given. Horrendous customer service, zero value for money, completely unprofessional. Avoid at all costs.",1
Worst app and there us no proper support graphics and no faq section and also it is not working properly,1
"Many times I book the service and as per schedule the UC Associate/Partner attends to my booking. However while rendering the repair with spare and accessories they charge us privately and the booking is closed with mere attendance. UC loses its due share in the process. The Associate/Partner states that they use the platform for accessing the booking. However since the payment by UC is not decent or reasonable, they resort to this practice.Gullible customers forget one thing that they lose warranty in the process.

Many a time the scope of repair is not adequate. For instance the spares of Sony TV would not be available with them and they ask the customer to approach a technician known to them, say an authorised service agent of Sony. We end up in losing the visit charges. UC has left several loose ends in their service and repair category. We call a plumber for resolving a drainage issue, but he will refuse the work as out of scope and eventually we loose the visit charges.",3
NEVER BOOK THEIR SERVICES AND WASTE TIME! THERE IS ALWAYS SOME GLITCH ON THEIR APP AND THE CANCELING BOOKINGS LAST MINUTE FROM THEIR SIDE. IT'S JUST CRAP CUSTOMER EXPERIENCE!,1
"Guys never trust the stylists from Urban Company for hair colour or pre lightening as you’ll end up crying and screwing your hair , time and money . As he came separately for the service telling me that he’ll very professional and have whole knowledge about the hair and the products he’s using but I had a nightmare of my life even after paying 7K even the colour was mine but my hair looked like dry and broken . Don’t believe in their overconfidence and go to a good salon who are specialists in Colors and pre lightening . I wish I could upload the picture of my hair with this review but I have posted in urban company photo and image gallery .",1
Very high quality Marble (floor )of wash room of newly built house got damaged by the poor quality products used by the company employees for cleaning . No one from the company called even after the feedback provided. Will definitely take legal course.,1
"Urban Company : Thief, muggers, higly unprofessional. WORST

I booked a professional (with 4.95 rating)and she was caught red handed with a diamond ring she stole from my dressing worth Rs. 2 lakhs. And where did i find it: in the hot wax container. She acted so smart with me and stripped naked and asked me to check her completely. I found the ring in the most unusal place which was inside the wax. This is such a pathetic experience and Urban Company is not ready to do anything about it. I have uninstalled this app and i never want to experience the same.

Professional details are in the screenshot and trust me Urban Company are muggers.",1
"Urban Company is a hit or a miss. The application is designed well, and the idea of training the uneducated youth is laudable, but the execution is pathetic. There is no apt support in the case of damage to the property. I don't think it is a concern for the upper management.

Ideally, the company should train the poor gig workers and maintain the service standards somehow. The only cleaning items workers should use are company-provided items. In case of damage, it should be the company's responsibility/CEO's responsibility to ensure the damage is fixed. Unfortunately, that does not happen in India, as there are no strict laws to protect consumers.

In India, I had two incidents, one where the cleaner broke the sink and a second where he poured acid on toilet sink handles, removing the polish. The support was a sorry statement with a starting offer of 250 Rs, which went to the 2000 Rs offer.

The company takes a good cut from the poor gig worker and takes money from customers for a service, but there is no guarantee for the quality of the service. It's a Profit machine great for investors. This is a dream business!

The company will be sued in the US if they don't replace the broken item and improve services.

I hope the CEO Abhiraj Singh Bhal and the team improve the existing system.",2
It was really bad experience with urban. U der uc warranty 5 times executive came and issues not solved in my ac,1
"UC assigned some local vendor from Noida and one senior service engineer visited our house for Split AC repair. We paid almost INR 5600.00(UC booking, AC service, gas and some valve part change. Though he didn't show me or handed faulty part. AC worked and started cooling but within week again stopped cooling.

Called him again, he confirmed Capacitor needs replacement as part is old(our AC is 6 yrs old and hardly used) he brought R290 gas from market and start refilling. I asked him show capacitor he said NO I said capacity and R290 is capacity need replacement(he charged me additionally INR 1600.00).

AC again stop cooling within 2-3 hours, calling him again but no response. PLEASE STOP this dirty business UC, you have no quality check on service providers.

Another Window AC service - They didnt remove from window simply sprayed from outside. next day AC air was smelling bad of dirty stored water inside. Same complained him, but no response.",1
Today I had booked servicing for chimney & hob cleaning & the professional couldn’t open the lock of the chimney really disgusting & unprofessional then I asked him that can he service the hobs for that he said i am very busy so cannot do this it seems he was in very much hurry & was not interested to do the services very bad & unprofessional,1
"Had got my o general split ac gas refilled. Engineer found gas leak at one point and repaired it using handheld welding can and gun. Within a week gas again leaked, engineer came and said gas leaking three points, while repairing said gas started leaking from five new points. He said the internal unit could not be repaired and will have to be changed. Took help from customer care who were really helpful. The problem I pointed out to them was that the gas was leaking because of excess heat caused by wrong welding. After much talk with the customer care the engineer welded the gas leak at low flame using gas cylinder. The ac is working fine now.",4
"First, service for deep clean was not well done. To UC's credit, they did arrange for the ""professionals"" to return to complete the job and gave a partial refund. 2 days later, I booked handyman services. Less than 5 minutes before the ""professionals"" were due, they informed me they would be ""slightly late"" - then they told me they would be 2 hours late, arriving after 6pm when my kids would be in bed. There was then no time to try and arrange another person to complete the job. Customer service could not do anything apart from initiate a refund. Now I have to wait 7-10 days to get my money back and the job is still not complete.",1
"Product used is not as per the details given on app. This is like cheating your customers. I booked a potli massage today 11.07.2023.

The product detail says that potli will have herbs and will be dipped in oil. Instead of herbs potli has only salt. It is not dipped in oil but just touched with oil. The oil used does not smell like the ayurvedic oil. It seems your are fooling people by charging so heavily and not providing the correct product.",3
"Its a big fraud company. I booked a home laptop repair service on 8th july 2023, as per advertisement it was told its free service with no visit charge and laptop will be repaired at the doorstep infront of me as per problem it was told rs 450 shall be charged . I agreed to pay

. A person came to me have no id of urban company, said tne company hires local venders

Was having no knowledge of fault

And asked me to take away my laptop for two days as he has no equipment to repair it at home. and told me charges will be rs 1000/-or higher . I denied because he had no id of urban company and charges was more than double than told earlier.

He asked me to pay Rs. 150 as visit charge. I asked him that on sline booking was showed free visit. He told website is not updated since long .hence you pay rs 150. Any how I paid rs. 150 without any service. Thd Urban company is cheating people like this . dont take any service from urban company they are fraud and looting peoples with their fake advertising.",1
"Their pricing is designed to force you to add services before you are allowed to checkout. They also make it difficult to reach out to their customer service team. Their pricing after the work is opaque - neither their partners nor UC clearly explain what you are paying for when material is purchased. UC has made it a habit to add fees even for customers who sign up for annual membership. I feel that UC is laser focused on upselling services that are more than average in price and adding innovative fees on top of annual subscription fees. Since they are a monopoly, I often have to use them. But I have certainly cut down on the number of times I have used their services.",1
"Whole booked they charged by showing solution of Low cooling but when they visited they given the different bill and said it was our visiting charges for inspections? Why they not confirmed early during booking that they charging for visit only. Their website have pricing like a hotel menu.... Less cooling Rs 299, etc what it indicates. But in real they have HIDDEN CHARGES. NOT RECOMMENDED",1
"Worst cleaning experience, neither the sink was cleaned nor the toilet commod. Only floor was cleaned.",1
"I called for ac cleaning service, but they said that ac is having gas leakage problem, took 3000 changers, but I again faced within a 2 weeks, but they didn't pick the call, 15-20 times called them and also send whatup message with problem detail, but didn't give any response. I can say it is just unreliable company, only give fake advertise.",1
"I  would give negative points. Please please do not fall for this trap. Urban company's so called experts spoilt my inverter AC s PCB. I called the customer care to send someone to fix it. After that, everyday 5 different 'experts' came, all claiming it was not their department. I got frustrated as i would have different people in my house everyday plus my AC was not working in peak summers. So i called the company service centre. They diagnosed the issue in 5 mins and replace d the PCB in a day. However, i had to pay 8, 5 k from my pocket",1
"I got my 1 ton ac repaired and I was told to raise complain if not satisfied with 1 month warranty.

But after 38 days ac cooling stopped, I checked urban company but you can never contact customer care, and since warrant expire within month, the need one more payment for same problem after 38 days.

I tried to understand the problem, some liquid can block leakage for some days or leakage was that minimal it takes a month to leak.

Either it was not repaired properly or some liquid which sustain for a period they knows well.

Try to get local repair person, at least they can be reached.",1
"Recently Urban Company found a new way to con customers, by offering laptop repair services by Thugs appointed by them as partners.

Considering we were a happy customer using non-technical services, we tried our luck in getting our laptop repaired by their partner named Radha Krishan Rakhija, who very casually opened our HP Pavilion 360 Laptop without scanning the machine as he was attending multiple phone calls which damaged the touch screen, USB port & fan. The ONLY issue was with the speed of the laptop for which he suggested to remove the HDD and replace it with SDD for which the quote was approx. 3k. He got this job by promising that he can fix this in 15-20 mins as that was a mere replacement of HDD with SDD, but instead of replacing the SDD properly, he damaged the touch screen, USB port & fan.

Since he couldn’t fix the laptop on 26th May and we insisted to keep the job pending as the asset was damaged, he came to collect the laptop on 28th May by promising to hand it over on 29th / 30th May at max but he went silent for 4 days and when we reached out to him if touch screen and fan is repaired, he confirmed that both were working fine(screenshot of chat attached). On 1st June, he sent a quote of Rs 5654/-(screenshot of chat attached) in which he mentioned spare parts replacement as SSD+ RAM+ USB Port and when we pushed back on RAM(as he initially suggested to not add RAM as SSD would be sufficient), he very conveniently suggested to leave it. In the evening he visited our place and narrated a new story that now the motherboard is damaged and total spend will be Rs 15k, which made me 100% sure that we are being conned by him. When I mentioned that all his conversations are recorded through CCTV camera and none of it matches with the fresh diagnosis which he produces every single time, he got scared and offered to replace the motherboard at his own expense. For almost 1 hr, he was pleading to take our laptop once again to his shop to repair it but since he was not willing to add the motherboard expense to the quote, we escalated this matter to Urban Company. While Urban Company was investigating the matter, the technician closed the job and now Urban Company has removed the chat from their system to safeguard his partner.

Very smartly, they assigned 1 more technician(Sudhanshu Mohan Dixit) who came to our place on 3rd June and obviously played smartly by demeaning the earlier technician and promising to repair all the faults and accepted on camera that motherboard is working fine. He also showed us multiple connectors broken(1 pic attached) which may have damaged touchscreen connection. The 2nd technician promised to return the laptop by 4th Jun and now when we are checking with him, he is not responding at all.

Urban Company not just have army of con-mans as their partners but the contact centre executives are equally trained to fool their customers. The CC executive started batting from their partners end and called us today stating the motherboard was damaged and it was confirmed by both the technicians and we have to bear the cost of it until the time it is replaced, touchscreen as well as the USB port will not function.

Every single day, they buy time for 1 more day assuring that the matter will be resolved to our satisfaction whereas they have a complete nexus of trained professionals at all levels to fool customers.

My today’s submission to the call from the smart call centre executive for our escalation is to throw the laptop in dustbin as now I am going to share daily, video clips of their partners who came to my place and have been continuously trying to fool us.",1
"Very very worst service by UC, i called them for repairing my AC , they charged 7800, replaced part n filled gas, but with in 2 days same in bad condition, i called them multiple time to convey that service has not done properly but no proper response..

For 1st time they ll attend properly as it is paid n they ll not at all response properly if it's in under warranty period..i recommend never ever use such 3rd class service provider",1
"I placed order for 3 air conditioner servicing with urban company.

First ac plastic part broken by the technician. Beep noise stopped while changing temperature/on off/mode change. Samsung ac.

Second ac newest one -motherboard destroyed. Took it for repair and returned it after 3 days. Motherboard repair costs 4000 paid by urban company. Hisense ac.

Third ac - Digital display one digit stopped growing. Left it like that. No repairing done. LG ac

I am repenting now why l did not called the company technicians for servicing who has better knowledge of their product.

Urban company technicians don't know anything about ac servicing and just work like car wash personnel.

They were doing video call with urban company call center to open the motherboard.

Never do servicing with urban company if you want to keep your expensive ac safe.",1
"The company is a cheat and will only do what they think is clean, generally the company policy is very bad and their standards are below basic standards . Better using local people, their system of timing is all over the place, the time slots do not mean anything ! Substandard service, they are just interested in money and not service !",1
"I had breakfast booked for my four AC servicing at 1950 which were running fine. They caused gas leakage in one AC and caused condenser damage in another AC. They are not equipped to even open and check the AC rightly. After making servicing payment, we are made to pay 3500 for gas filling in one AC and 10000 for condenser repair and gas filling in another AC. So total loss of 15450. So boycott urban company.",1
"I called for AC service. Technician came did service and said AC is not cooling may be gas not there. I told him its a 2 years old AC it shouldn't have problem. He checked and said gas is empty need to fill orelse compressor will have problem. I told him check for leakage and fill the gas, he did checking of leakage and filled the gas and charged 2500/-. Now we got to know that again gas is empty and there is a leakage. I could not call the Urban Company because there is no customer care number and chat is not helpful in the APP.I calledtechnician and he is tellingwarrenty is over, its only for 3 months i cannot help you. Already your company have very bad reviews on servicing. Whoever opt for any appliance later they face something than the other repairs on that. I mailed the issue to Urban Company but reply came resolve your issue in APP. HOW GOVERMENT IS ALLOWINH THIS COMPANY WITHOUT CUSTOMER CARE NUMBER IN APP ????If there is no Customer Care number how can we give feedback and resove our problem after service. URBAN COMPANY IS FRAUD AND CHEATING CUSTOMERS.",3
"I have booked a Inverter servicing from Urban Company. For that they have charged Rs249 + tax. The package includes Distilled water top up and cleaning services.

Now when the professional came he was asking money to buy distilled water, transportation cost to bring the distilled water.

Now this ?249+tax is for only to see the face of the professional, you like the face or not that's upto your choice.

Now if you agree for the extra money for distilled water, he will ask for the transportation cost for bringing the distilled water.

If you call any professional for distilled water top up from a local inverter dealer they will charge you Rs 60 without cleaning or servicing.

Never ever go for any Inverter Service from Urban Company.",1
"Urban Clay's setvice providers are unreliable. After fixing a time slot they kept changing the time slot and didn't respond to my calls. The urban clap site ask to use my registrade phone number, but calling from the number doesn't get response. The service provider doesn't report at all and I had to ask urban clap to cancel, loosing 100rs due to no fault of mine. I had yet to get the refund",1
